#time,accel_x,accel_y,accel_z
236.735725,888.247130,-10418.898773,-1184.329507
236.736045,740.205942,-9882.631924,-1036.288319
236.736365,814.226536,-10418.898773,-814.226536
236.736685,592.164754,-10725.336972,-814.226536
236.737005,814.226536,-10112.460574,-370.102971
236.737325,962.267725,-9806.022374,-666.185348
236.737645,1036.288319,-10265.679673,-296.082377
236.737965,1258.350101,-11338.213370,-148.041188
236.738285,888.247130,-10189.070123,222.061783
236.738605,444.123565,-10035.851024,74.020594
236.738925,814.226536,-10265.679673,-148.041188
236.739245,0.000000,-8580.269578,0.000000
236.739565,0.000000,-10265.679673,-740.205942
236.739886,-296.082377,-10035.851024,-1110.308913
236.740206,74.020594,-10342.289223,-1036.288319
236.740526,1110.308913,-12257.527968,-1702.473667
236.740846,962.267725,-10418.898773,-1036.288319
236.741166,370.102971,-9959.241474,-1258.350101
236.741486,814.226536,-10418.898773,-518.144159
236.741806,814.226536,-10265.679673,-444.123565
236.742126,888.247130,-9499.584175,0.000000
236.742446,962.267725,-10342.289223,-296.082377
236.742766,1036.288319,-9806.022374,-74.020594
236.743086,518.144159,-10189.070123,-148.041188
236.743406,1258.350101,-10648.727422,-740.205942
236.743726,592.164754,-10035.851024,-666.185348
236.744046,222.061783,-10035.851024,-444.123565
236.744366,74.020594,-10342.289223,-962.267725
236.744686,-74.020594,-9959.241474,-888.247130
236.745006,0.000000,-9959.241474,-740.205942
236.745326,740.205942,-10035.851024,-814.226536
236.745646,888.247130,-9882.631924,-1036.288319
236.745966,1036.288319,-10725.336972,-1184.329507
236.746286,444.123565,-10265.679673,-666.185348
236.746606,962.267725,-10265.679673,-888.247130
236.746926,1184.329507,-10572.117872,-518.144159
236.747246,814.226536,-10035.851024,0.000000
236.747566,1036.288319,-10801.946522,-148.041188
236.747886,592.164754,-9729.412825,-444.123565
236.748206,814.226536,-10342.289223,-370.102971
236.748526,222.061783,-9806.022374,-518.144159
236.748846,592.164754,-9652.803275,-148.041188
236.749167,666.185348,-10112.460574,-370.102971
236.749487,888.247130,-10572.117872,-444.123565
236.749807,148.041188,-10418.898773,-962.267725
236.750127,-148.041188,-9882.631924,296.082377
236.750447,444.123565,-10955.165621,-666.185348
236.750767,592.164754,-10342.289223,-1332.370696
236.751087,1036.288319,-9882.631924,-1036.288319
236.751407,518.144159,-9959.241474,-1258.350101
236.751727,740.205942,-10189.070123,-888.247130
236.752047,518.144159,-10035.851024,-370.102971
236.752367,518.144159,-10189.070123,-370.102971
236.752687,592.164754,-10112.460574,-592.164754
236.753007,148.041188,-10342.289223,0.000000
236.753327,444.123565,-10189.070123,-370.102971
236.753647,740.205942,-9729.412825,0.000000
236.753967,1258.350101,-10112.460574,-592.164754
236.754287,888.247130,-9882.631924,-518.144159
236.754607,666.185348,-10035.851024,-592.164754
236.754927,444.123565,-10265.679673,-666.185348
236.755247,148.041188,-9882.631924,-666.185348
236.755567,1110.308913,-9806.022374,-1406.391290
236.755887,148.041188,-9882.631924,-1036.288319
236.756207,888.247130,-10648.727422,-814.226536
236.756527,370.102971,-10112.460574,-962.267725
236.756847,814.226536,-9806.022374,-222.061783
236.757167,1110.308913,-10495.508323,-666.185348
236.757487,1110.308913,-10418.898773,-666.185348
236.757807,888.247130,-10035.851024,-74.020594
236.758128,1258.350101,-10189.070123,-666.185348
236.758448,518.144159,-9806.022374,74.020594
236.758768,1036.288319,-9959.241474,-1036.288319
236.759088,888.247130,-10265.679673,-148.041188
236.759408,666.185348,-10112.460574,-592.164754
236.759728,370.102971,-9193.145976,-148.041188
236.760048,0.000000,-10112.460574,-962.267725
236.760368,0.000000,-10112.460574,-888.247130
236.760688,74.020594,-10035.851024,-666.185348
236.761008,888.247130,-9422.974625,-666.185348
236.761328,1036.288319,-10265.679673,-888.247130
236.761648,740.205942,-9959.241474,-1184.329507
236.761968,740.205942,-9882.631924,-1184.329507
236.762288,1110.308913,-11797.870669,-1184.329507
236.762608,962.267725,-10112.460574,-666.185348
236.762928,1036.288319,-9882.631924,-888.247130
236.763248,962.267725,-10189.070123,-740.205942
236.763568,592.164754,-9882.631924,-592.164754
236.763888,740.205942,-9806.022374,-740.205942
236.764208,740.205942,-10035.851024,-666.185348
236.764528,222.061783,-10342.289223,-296.082377
236.764848,0.000000,-9882.631924,-444.123565
236.765168,518.144159,-9729.412825,-592.164754
236.765488,518.144159,-10801.946522,-444.123565
236.765808,592.164754,-10265.679673,-814.226536
236.766128,888.247130,-10112.460574,-1036.288319
236.766448,1480.411884,-10648.727422,-666.185348
236.766768,222.061783,-10342.289223,-740.205942
236.767089,592.164754,-10035.851024,-592.164754
236.767409,592.164754,-10342.289223,-444.123565
236.767729,962.267725,-10112.460574,-444.123565
236.768049,1036.288319,-9959.241474,-444.123565
236.768369,888.247130,-9729.412825,-592.164754
236.768689,1110.308913,-10265.679673,-222.061783
236.769009,1184.329507,-9959.241474,-444.123565
236.769329,962.267725,-10265.679673,-592.164754
236.769649,1406.391290,-9806.022374,-518.144159
236.769969,296.082377,-10265.679673,-666.185348
236.770289,0.000000,-10112.460574,-1036.288319
236.770609,0.000000,-9806.022374,-1036.288319
236.770929,0.000000,-10342.289223,-814.226536
236.771249,0.000000,-10495.508323,-1110.308913
236.771569,444.123565,-10418.898773,-1036.288319
236.771889,1998.556043,-10112.460574,-1702.473667
236.772209,1850.514855,-9806.022374,-518.144159
236.772529,962.267725,-9959.241474,-666.185348
236.772849,962.267725,-9806.022374,-222.061783
236.773169,444.123565,-8656.879127,-518.144159
236.773489,444.123565,-10418.898773,0.000000
236.773809,592.164754,-9959.241474,-222.061783
236.774129,888.247130,-10572.117872,-222.061783
236.774449,814.226536,-10189.070123,-592.164754
236.774769,814.226536,-10035.851024,-518.144159
236.775089,592.164754,-10112.460574,-296.082377
236.775409,0.000000,-10725.336972,-666.185348
236.775729,222.061783,-10801.946522,-814.226536
236.776050,-148.041188,-9882.631924,-740.205942
236.776370,222.061783,-9959.241474,-1184.329507
236.776690,666.185348,-10035.851024,-1332.370696
236.777010,962.267725,-10035.851024,-592.164754
236.777330,962.267725,-11414.822920,-1110.308913
236.777650,1850.514855,-10189.070123,-370.102971
236.777970,1110.308913,-9806.022374,-518.144159
236.778290,518.144159,-10418.898773,-296.082377
236.778610,444.123565,-9729.412825,-962.267725
236.778930,518.144159,-10418.898773,-518.144159
236.779250,666.185348,-10189.070123,-370.102971
236.779570,1036.288319,-10342.289223,-74.020594
236.779890,1110.308913,-10648.727422,-74.020594
236.780210,370.102971,-9959.241474,-814.226536
236.780530,0.000000,-10112.460574,-370.102971
236.780850,0.000000,-9959.241474,-592.164754
236.781170,370.102971,-10418.898773,-962.267725
236.781490,-74.020594,-9806.022374,-666.185348
236.781810,370.102971,-9882.631924,-1480.411884
236.782130,592.164754,-10112.460574,-814.226536
236.782450,592.164754,-9882.631924,-814.226536
236.782770,0.000000,-10495.508323,-888.247130
236.783090,1036.288319,-9882.631924,-592.164754
236.783410,1258.350101,-10342.289223,-74.020594
236.783730,888.247130,-9959.241474,0.000000
236.784050,592.164754,-9116.536426,-222.061783
236.784370,666.185348,-10112.460574,-296.082377
236.784690,814.226536,-10265.679673,-444.123565
236.785011,666.185348,-10189.070123,-592.164754
236.785331,296.082377,-10112.460574,-888.247130
236.785651,0.000000,-9806.022374,-962.267725
236.785971,370.102971,-10112.460574,-814.226536
236.786291,222.061783,-10265.679673,-666.185348
236.786611,444.123565,-10418.898773,-1036.288319
236.786931,666.185348,-10342.289223,-888.247130
236.787251,444.123565,-10189.070123,-740.205942
236.787571,740.205942,-9882.631924,-740.205942
236.787891,888.247130,-9422.974625,-592.164754
236.788211,1036.288319,-9729.412825,74.020594
236.788531,1406.391290,-10265.679673,-296.082377
236.788851,888.247130,-9806.022374,0.000000
236.789171,814.226536,-10418.898773,-74.020594
236.789491,666.185348,-10342.289223,-148.041188
236.789811,666.185348,-10342.289223,-592.164754
236.790131,296.082377,-10112.460574,-370.102971
236.790451,222.061783,-10265.679673,-370.102971
236.790771,0.000000,-9882.631924,-814.226536
236.791091,296.082377,-10035.851024,-740.205942
236.791411,666.185348,-10418.898773,-814.226536
236.791731,518.144159,-10112.460574,-814.226536
236.792051,148.041188,-10035.851024,-1036.288319
236.792371,-370.102971,-10342.289223,-370.102971
236.792691,888.247130,-10418.898773,-740.205942
236.793011,814.226536,-9882.631924,-444.123565
236.793331,1036.288319,-10418.898773,-74.020594
236.793651,2368.659014,-10035.851024,-1480.411884
236.793972,1480.411884,-10035.851024,0.000000
236.794292,814.226536,-10265.679673,-296.082377
236.794612,962.267725,-10265.679673,-148.041188
236.794932,222.061783,-9652.803275,222.061783
236.795252,0.000000,-10189.070123,-518.144159
236.795572,-814.226536,-10495.508323,-370.102971
236.795892,-444.123565,-10035.851024,-666.185348
236.796212,0.000000,-9806.022374,-1036.288319
236.796532,1258.350101,-10342.289223,-962.267725
236.796852,1110.308913,-10112.460574,-1110.308913
236.797172,1110.308913,-9882.631924,-666.185348
236.797492,888.247130,-10342.289223,-592.164754
236.797812,740.205942,-9576.193725,-592.164754
236.798132,814.226536,-9882.631924,-518.144159
236.798452,444.123565,-10418.898773,-370.102971
236.798772,592.164754,-9959.241474,-148.041188
236.799092,1850.514855,-11644.651570,-666.185348
236.799413,1406.391290,-10112.460574,-370.102971
236.799733,1332.370696,-10418.898773,-444.123565
236.800053,1036.288319,-9422.974625,-666.185348
236.800373,740.205942,-8810.098227,-1110.308913
236.800693,-148.041188,-10265.679673,-740.205942
236.801013,0.000000,-10342.289223,-666.185348
236.801333,74.020594,-10342.289223,-666.185348
236.801653,296.082377,-10112.460574,-1184.329507
236.801973,888.247130,-9729.412825,-1184.329507
236.802293,1110.308913,-10265.679673,-1036.288319
236.802613,1036.288319,-10418.898773,-518.144159
236.802933,740.205942,-9882.631924,-962.267725
236.803253,444.123565,-10648.727422,-518.144159
236.803573,74.020594,-9806.022374,-444.123565
236.803893,1110.308913,-9806.022374,-592.164754
236.804213,1332.370696,-9959.241474,-148.041188
